,idx,lat,lon,location_type,types
5767,115381,40.8249522,-73.8365779,GEOMETRIC_CENTER,['intersection']
5768,115406,40.8581126,-73.8566395,GEOMETRIC_CENTER,['intersection']
5769,115443,40.6670232,-73.7730596,GEOMETRIC_CENTER,['intersection']
5770,115468,40.7380066,-73.90369079999999,GEOMETRIC_CENTER,['intersection']
5771,115480,40.7343735,-73.7221289,GEOMETRIC_CENTER,['intersection']
5772,115567,40.7547182,-73.852128,GEOMETRIC_CENTER,['intersection']
5773,115623,40.7651151,-73.97305279999999,RANGE_INTERPOLATED,['street_address']
5774,115628,40.7817409,-73.8256707,GEOMETRIC_CENTER,['intersection']
5775,115630,40.8138009,-73.9313702,GEOMETRIC_CENTER,['intersection']
5776,115638,40.8359637,-73.8713295,GEOMETRIC_CENTER,['intersection']
5777,115710,40.7337502,-73.8643474,GEOMETRIC_CENTER,['intersection']
5778,115722,40.76728540000001,-73.99426439999999,ROOFTOP,['street_address']
5779,115741,40.7471549,-73.89015619999999,RANGE_INTERPOLATED,['street_address']
5780,115798,40.70920650000001,-73.9684877,GEOMETRIC_CENTER,['intersection']
5781,115813,40.5163989,-74.2328113,GEOMETRIC_CENTER,['intersection']
5782,115823,40.7645623,-73.7242583,GEOMETRIC_CENTER,['intersection']
5783,115849,40.7516959,-73.7461994,GEOMETRIC_CENTER,['intersection']
5784,115852,40.6828011,-73.80622040000002,GEOMETRIC_CENTER,['intersection']
5785,115867,40.7123058,-73.8895177,GEOMETRIC_CENTER,['intersection']
5786,115885,40.8846196,-73.9149079,GEOMETRIC_CENTER,['intersection']
5787,115914,40.885116,-73.8979861,GEOMETRIC_CENTER,['intersection']
5788,115915,40.7555096,-73.98361179999999,GEOMETRIC_CENTER,['intersection']
5789,115961,40.72327689999999,-73.937409,GEOMETRIC_CENTER,['intersection']
5790,115992,40.5766992,-74.1400044,GEOMETRIC_CENTER,['route']
5791,115997,40.889913,-73.81944419999999,RANGE_INTERPOLATED,['street_address']
5792,116004,40.7179676,-73.9357984,ROOFTOP,['premise']
5793,116011,40.702432,-73.8168484,GEOMETRIC_CENTER,['intersection']
5794,116066,40.6828011,-73.80622040000002,GEOMETRIC_CENTER,['intersection']
5795,116093,40.5726046,-73.9787857,ROOFTOP,"['establishment', 'natural_feature', 'point_of_interest']"
5796,116099,40.7528857,-73.7761897,GEOMETRIC_CENTER,['intersection']
5797,116145,40.7032968,-73.8166608,GEOMETRIC_CENTER,['route']
5798,116208,40.719779,-73.792322,ROOFTOP,['street_address']
5799,116208,40.716226,-73.806518,ROOFTOP,['street_address']
5800,116208,40.7166234,-73.80296109999999,ROOFTOP,['street_address']
5801,116208,40.716991,-73.8186,ROOFTOP,['street_address']
5802,116208,40.719792,-73.790035,ROOFTOP,['street_address']
5803,116208,40.7191747,-73.7954369,ROOFTOP,['street_address']
5804,116208,40.7455775,-73.8469092,ROOFTOP,['street_address']
5805,116208,40.7164899,-73.8029392,ROOFTOP,['street_address']
5806,116208,40.7380618,-73.74161649999999,ROOFTOP,['street_address']
5807,116208,40.737749,-73.742355,ROOFTOP,['street_address']
5808,116262,40.7116005,-74.0024431,GEOMETRIC_CENTER,['intersection']
5809,116310,40.8427981,-73.8978679,ROOFTOP,['premise']
5810,116342,40.674343,-73.9706415,GEOMETRIC_CENTER,['intersection']
5811,116369,40.8582836,-73.8432938,GEOMETRIC_CENTER,['intersection']
5812,116412,40.71743,-73.9193064,GEOMETRIC_CENTER,['intersection']
5813,116417,40.6054764,-74.07668799999999,GEOMETRIC_CENTER,['intersection']
5814,116463,40.826287,-73.81632739999999,GEOMETRIC_CENTER,['intersection']
5815,116479,40.6080929,-74.140925,GEOMETRIC_CENTER,['intersection']
5816,116497,40.8556402,-73.8295689,GEOMETRIC_CENTER,['intersection']
5817,116545,40.7545739,-74.0068534,GEOMETRIC_CENTER,['intersection']
5818,116546,40.7545739,-74.0068534,GEOMETRIC_CENTER,['intersection']
5819,116578,40.728025,-73.708304,ROOFTOP,['street_address']
5820,116598,40.8360903,-73.8752353,GEOMETRIC_CENTER,['intersection']
5821,116606,40.5956878,-74.0002131,GEOMETRIC_CENTER,['intersection']
5822,116627,40.742903,-73.99279779999999,GEOMETRIC_CENTER,['intersection']
5823,116631,40.8682893,-73.9164583,ROOFTOP,['street_address']
5824,116631,40.8682893,-73.9164583,ROOFTOP,['street_address']
5825,116661,40.7419136,-73.9911594,RANGE_INTERPOLATED,['street_address']
5826,116671,40.6889171,-73.9809102,GEOMETRIC_CENTER,['intersection']
5827,116698,40.7679948,-73.99575899999999,GEOMETRIC_CENTER,['intersection']
5828,116707,40.7425953,-73.82543849999999,GEOMETRIC_CENTER,['intersection']
5829,116719,40.722653,-73.77756409999999,GEOMETRIC_CENTER,['intersection']
5830,116723,40.6733177,-73.8011499,GEOMETRIC_CENTER,['intersection']
5831,116725,40.894879,-73.85584399999999,ROOFTOP,['street_address']
5832,116758,40.6432996,-73.97417039999999,GEOMETRIC_CENTER,['intersection']
5833,116815,40.7817409,-73.8256707,GEOMETRIC_CENTER,['intersection']
5834,116845,40.6941559,-73.96158319999999,ROOFTOP,['street_address']
